"species","p_value","LBD","LBD_control","qval"
"Bianquea_SGB71281","1",0.16,0.12,1
"Holdemania_sp_1001095H_141210_F2","0.363501593440889",0.4,0.24,1
"GGB3061_SGB4063","0.762413037183005",0.28,0.36,1
"GGB3537_SGB4727","0.0321569683995915",0.16,0.48,1
"Massiliimalia_massiliensis","1",0.36,0.4,1
"Clostridium_sp_AM22_11AC","1",0.2,0.2,1
"GGB74463_SGB54347","1",0.16,0.16,1
"Enterocloster_bolteae","0.773287279187032",0.56,0.64,1
"Streptococcus_australis","0.55122462579012",0.28,0.4,1
"Anaerofustis_stercorihominis","1",0.48,0.44,1
"Massiliimalia_timonensis","0.538025350078065",0.24,0.36,1
"Lentihominibacter_hominis","0.701939162602201",0.12,0.2,1
"Youxingia_wuxianensis","1",0.12,0.08,1
"Bifidobacterium_pseudocatenulatum","1",0.2,0.2,1
"Dialister_invisus","1",0.24,0.2,1
"Evtepia_gabavorous","1",0.68,0.64,1
"Clostridia_bacterium","0.741643326683333",0.28,0.2,1
"Gordonibacter_pamelaeae","1",0.44,0.48,1
"Hydrogeniiclostridium_mannosilyticum","1",0.4,0.44,1
"Clostridium_sp_AT4","0.753613520041634",0.24,0.32,1
"Clostridiaceae_bacterium_Marseille_Q3526","0.41742654508612",0.08,0.2,1
"Eisenbergiella_massiliensis","1",0.48,0.48,1
"GGB9186_SGB14125","1",0.2,0.24,1
"GGB3819_SGB5184","0.128353795024484",0.2,0.44,1
"Streptococcus_parasanguinis","1",0.72,0.72,1
"GGB3433_SGB4574","0.520194749554762",0.32,0.2,1
"GGB2987_SGB3969","1",0.2,0.2,1
"GGB3511_SGB4688","1",0.28,0.32,1
"Intestinibacter_bartlettii","1",0.4,0.44,1
"Pseudoflavonifractor_phocaeensis","1",0.12,0.12,1
"GGB3550_SGB4746","1",0.16,0.12,1
"Sellimonas_intestinalis","1",0.36,0.4,1
"Guopingia_tenuis","1",0.56,0.52,1
"Zhenpiania_hominis","0.773287279187032",0.56,0.64,1
"Mediterraneibacter_sp_NSJ_151","1",0.12,0.12,1
"Schaalia_SGB17153","0.0982776089159067",0.24,0.04,1
"GGB9719_SGB53514","0.246718974576471",0.24,0.08,1
"Phocea_massiliensis","0.463490492683961",0.12,0.24,1
"Lacrimispora_amygdalina","1",0.12,0.12,1
"Diplocloster_agilis","1",0.2,0.16,1
"Blautia_caecimuris","1",0.64,0.64,1
"Anaerotruncus_colihominis","1",0.44,0.48,1
"Anaerovorax_odorimutans","0.753613520041634",0.32,0.24,1
"Christensenella_hongkongensis","0.363501593440889",0.4,0.24,1
"Lachnotalea_sp_AF33_28","1",0.28,0.32,1
"Schaalia_SGB17154","1",0.16,0.12,1
"Luoshenia_tenuis","0.363501593440889",0.4,0.24,1
"Massilistercora_timonensis","0.725202447472273",0.16,0.24,1
"GGB31234_SGB14869","0.41742654508612",0.2,0.08,1
"Clostridium_innocuum","1",0.76,0.72,1
"Actinomyces_oris","0.00305106952383718",0.6,0.16,0.897981195953976
"Massilioclostridium_coli","0.139785384641228",0.24,0.48,1
"GGB4456_SGB6141","0.348675640468953",0.04,0.16,1
"Eisenbergiella_tayi","0.773287279187032",0.64,0.56,1
"GGB9534_SGB14937","0.55122462579012",0.28,0.4,1
"Christensenella_timonensis","1",0.12,0.12,1
"GGB58233_SGB79883","1",0.16,0.12,1
"Clostridia_bacterium_UC5_1_1E11","1",0.28,0.28,1
"GGB9469_SGB14862","0.773287279187032",0.44,0.36,1
"Clostridium_symbiosum","0.777511985060768",0.44,0.52,1
"Amedibacillus_dolichus","0.725202447472273",0.24,0.16,1
"Streptococcus_gordonii","0.753613520041634",0.32,0.24,1
"Firmicutes_bacterium","0.667100882906354",0.08,0.16,1
"GGB9491_SGB14888","1",0.24,0.2,1
"GGB58158_SGB79798","0.0954880141331806",0.12,0.36,1
"Enterocloster_citroniae","0.246718974576471",0.08,0.24,1
"Pseudoflavonifractor_capillosus","0.0982776089159067",0.04,0.24,1
"Bacteroides_eggerthii","0.196326205504226",0.16,0.36,1
"GGB3167_SGB4181","0.667100882906354",0.16,0.08,1
"Phocaeicola_massiliensis","1",0.28,0.28,1
"Lachnospira_sp_NSJ_43","0.0501519756838906",0,0.2,1
"Eubacterium_sp_AF34_35BH","0.41742654508612",0.08,0.2,1
"GGB3321_SGB4394","1",0.12,0.08,1
"Blautia_sp_An249","0.0501519756838906",0,0.2,1
"Alistipes_indistinctus","1",0.48,0.48,1
"Blautia_producta","0.0845109983749081",0.44,0.72,1
"Collinsella_tanakaei","0.348675640468953",0.04,0.16,1
"Enterocloster_asparagiformis","0.725202447472273",0.16,0.24,1
"Ruminococcus_gauvreauii","1",0.08,0.12,1
"Emergencia_timonensis","0.377154177611743",0.28,0.44,1
"Collinsella_stercoris","1",0.08,0.12,1
"GGB3433_SGB4573","1",0.48,0.52,1
"GGB9715_SGB15267","0.28901585615842",0.12,0.28,1
"GGB47687_SGB2286","1",0.08,0.12,1
"Parasutterella_SGB9260","0.0954880141331806",0.12,0.36,1
"Bacteroides_fragilis","0.363501593440889",0.24,0.4,1
"GGB3001_SGB3992","1",0.08,0.12,1
"GGB9453_SGB14845","0.189463019250253",0.04,0.2,1
"Alistipes_sp_AF17_16","1",0.24,0.24,1
"Rothia_mucilaginosa","0.520194749554762",0.2,0.32,1
"Massilimicrobiota_timonensis","0.762413037183005",0.36,0.28,1
"Bianquea_renquensis","0.0232154217451453",0.04,0.32,1
"GGB9509_SGB14906","1",0.08,0.12,1
"Lactococcus_cremoris","0.246718974576471",0.08,0.24,1
"Bacteroides_intestinalis","1",0.2,0.16,1
"Eubacterium_callanderi","1",0.2,0.24,1
"GGB3550_SGB4747","0.4962044870325",0.16,0.28,1
"Catenibacillus_scindens","0.701939162602201",0.12,0.2,1
"GGB9719_SGB15272","0.0374296615256088",0.08,0.36,1
"Intestinimonas_sp_MSJ_38","1",0.12,0.12,1
"GGB45497_SGB63169","1",0.28,0.28,1
"Streptococcus_oralis","1",0.16,0.16,1
"GGB9495_SGB14892","0.463490492683961",0.24,0.12,1
"GGB42389_SGB59559","0.725202447472273",0.16,0.24,1
"Clostridium_sp_AM29_11AC","1",0.16,0.2,1
"Mediterraneibacter_SGB48424","1",0.12,0.12,1
"Lachnoclostridium_pacaense","1",0.08,0.12,1
"Clostridiaceae_unclassified_SGB15090","0.0487971536957187",0.28,0.04,1
"Streptococcus_vestibularis","0.538025350078065",0.36,0.24,1
"Desulfovibrio_fairfieldensis","1",0.2,0.16,1
"Oscillospiraceae_unclassified_SGB15256","0.246718974576471",0.24,0.08,1
"Clostridium_scindens","1",0.52,0.52,1
"GGB9640_SGB15115","0.246718974576471",0.24,0.08,1
"GGB4566_SGB6305","0.741643326683333",0.28,0.2,1
"Streptococcus_mutans","0.113657057623459",0.4,0.16,1
"Eubacteriales_bacterium","0.520194749554762",0.32,0.2,1
"Enterocloster_clostridioformis","1",0.2,0.16,1
"Lactonifactor_longoviformis","1",0.44,0.4,1
"Lawsonibacter_faecis","0.139785384641228",0.48,0.24,1
"Clostridium_methylpentosum","0.520194749554762",0.32,0.2,1
"Anaerostipes_caccae","0.520194749554762",0.2,0.32,1
"Streptococcus_anginosus","0.41742654508612",0.2,0.08,1
"GGB3730_SGB5060","0.00962512664640325",0.28,0,1
"Simiaoa_sunii","0.345130671689608",0.36,0.2,1
"Bifidobacterium_dentium","0.4962044870325",0.28,0.16,1
"Streptococcus_sanguinis","0.0982776089159067",0.24,0.04,1
"Lactobacillus_gasseri","1",0.12,0.16,1
"Clostridium_hylemonae","1",0.12,0.08,1
"GGB51647_SGB4348","0.348675640468953",0.16,0.04,1
"GGB3569_SGB4776","1",0.08,0.12,1
"Actinomyces_bouchesdurhonensis","1",0.08,0.12,1
"Lacticaseibacillus_rhamnosus","1",0.28,0.32,1
"Lacticaseibacillus_paracasei","1",0.2,0.24,1
"GGB3034_SGB4030","0.667100882906354",0.16,0.08,1
"GGB48165_SGB66168","0.667100882906354",0.08,0.16,1
"GGB3446_SGB4597","0.667100882906354",0.08,0.16,1
"Bifidobacterium_adolescentis","0.170622352801803",0.32,0.12,1
"GGB9210_SGB14149","1",0.08,0.12,1
"GGB3033_SGB4029","0.667100882906354",0.16,0.08,1
"Oxalobacter_formigenes","1",0.08,0.12,1
"GGB34900_SGB14891","1",0.32,0.28,1
"Kineothrix_SGB4886","0.701939162602201",0.2,0.12,1
"Eisenbergiella_sp_OF01_20","1",0.12,0.12,1
"Schaalia_SGB17158","1",0.2,0.16,1
"Schaalia_SGB17157","1",0.12,0.12,1
"Lachnospira_pectinoschiza","0.0321569683995915",0.16,0.48,1
"Longibaculum_muris","0.538025350078065",0.24,0.36,1
"Actinomyces_naeslundii","0.348675640468953",0.16,0.04,1
"GGB3504_SGB4680","1",0.08,0.12,1
"Ruminococcus_SGB4421","0.189463019250253",0.04,0.2,1
"Alistipes_dispar","1",0.16,0.2,1
"GGB3600_SGB4861","0.667100882906354",0.08,0.16,1
"Bifidobacterium_animalis","0.41742654508612",0.08,0.2,1
"Eubacterium_sp_c_25","0.348675640468953",0.04,0.16,1
