"species","lbd_control_BIOME182795","lbd_BIOME186184","lbd_control_BIOME186381","lbd_BIOME186385","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Mediterraneibacter_sp_NSJ_151",0,0,0,0,0,0,0,0.602725531869682,0.924464909205242,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Mediterraneibacter"
"Methanobrevibacter_smithii",0.0381655395479883,0,0.0909388446315686,0,0,0,0,0.403501919840915,0.846955215313907,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanobrevibacter"
"Methanosphaera_stadtmanae",0,0,0,0,0,0,0,0.806004203621313,0.973609362131882,"Archaea","Euryarchaeota","Methanobacteria","Methanobacteriales","Methanobacteriaceae","Methanosphaera"
"Monoglobus_pectinilyticus",0.0363783571650282,0,0,0,0,0.0363783571650282,-10.8330773143993,0.155461736877455,0.675354988990551,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Monoglobus"
"Negativibacillus_massiliensis",0,0,0,0,0,0,0,0.968927045608597,0.998327945067383,"Bacteria","Firmicutes","Firmicutes_unclassified","Firmicutes_unclassified","Firmicutes_unclassified","Negativibacillus"
"Neglectibacter_timonensis",0.00673800622819861,0,0.177117404105086,0,0.0440312617887159,0.0161716673048095,1.44393446155839,0.311583268481474,0.778167350725305,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Neglectibacter"
"Neobittarella_massiliensis",0.0138424134660873,0,0,0,0,0,0,0.438262188257487,0.872975694828678,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Neobittarella"
"Odoribacter_laneus",0.017465144944558,0,0,0,0,0,0,0.0203834428944218,0.491380715359753,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter"
"Odoribacter_splanchnicus",0.0171822384451698,0,0.0308350692079697,0.0595557817678657,0.0151300225270809,0.019003772373397,-0.328484337696554,0.486535902408283,0.886721787117423,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Odoribacteraceae","Odoribacter"
"Oliverpabstia_intestinalis",0,0,0,0.173278402766696,0.0400119233340112,0.0471035007713548,-0.235296045199963,0.747873593291843,0.958213041405174,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Oliverpabstia"
