"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"GGB9730_SGB15291",0.758672384576574,0.962780697033068,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9730"
"GGB9747_SGB15356",0.0329040109991291,0.52504790428527,"Bacteria","Firmicutes","CFGB3062","OFGB3062","FGB3062","GGB9747"
"GGB9759_SGB15370",0.56503721916888,0.917486177660359,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","GGB9759"
"GGB9760_SGB15373",0.0403275196662439,0.52504790428527,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","GGB9760"
"GGB9760_SGB15374",0.730808535426221,0.958213041405174,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","GGB9760"
"GGB9765_SGB15382",0.99012562672034,0.998327945067383,"Bacteria","Firmicutes","CFGB38642","OFGB38642","FGB38642","GGB9765"
"GGB9767_SGB15385",0.582472655276963,0.918684841689998,"Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9767"
"GGB9770_SGB15389",0.0819562521323476,0.56792219787486,"Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9770"
"GGB9770_SGB15390",0.989828456852872,0.998327945067383,"Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9770"
"GGB9775_SGB15395",0.437083089896906,0.872975694828678,"Bacteria","Firmicutes","CFGB3070","OFGB3070","FGB3070","GGB9775"
"GGB9781_SGB15402",0.862773190807642,0.979275237437679,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9781"
"GGB9781_SGB66170",0.773338518943905,0.967512436462237,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9781"
"GGB9782_SGB15403",0.24706566594586,0.714357587789053,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9782"
"GGB9783_SGB15405",0.34477008957484,0.796370347750334,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9783"
"GGB9786_SGB15409",0.0297253779303241,0.52504790428527,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9786"
"GGB9787_SGB15410",0.629096776049371,0.928933204073303,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9787"
"GGB9788_SGB15411",0.01650572920245,0.491380715359753,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB9788"
"GGB9790_SGB15413",0.086598229125806,0.583648338765706,"Bacteria","Firmicutes","CFGB45503","OFGB45503","FGB45503","GGB9790"
"GGB9818_SGB15459",0.791117275851235,0.973074249297019,"Bacteria","Proteobacteria","Deltaproteobacteria","Desulfovibrionales","Desulfovibrionaceae","GGB9818"
"Gordonibacter_pamelaeae",0.902752009169898,0.984972407392763,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter"
"Gordonibacter_urolithinfaciens",0.20309905960434,0.683379104739591,"Bacteria","Actinobacteria","Coriobacteriia","Eggerthellales","Eggerthellaceae","Gordonibacter"
"Guopingia_tenuis",0.54831610876004,0.911390288884932,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Guopingia"
"Holdemanella_porci",0.160591382638117,0.67936141424601,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemanella"
"Holdemania_filiformis",0.058036315537587,0.52504790428527,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"Holdemania_sp_1001095H_141210_F2",0.374953896742378,0.834138454193711,"Bacteria","Firmicutes","Erysipelotrichia","Erysipelotrichales","Erysipelotrichaceae","Holdemania"
"Hungatella_hathewayi",0.0150471588458747,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Hungatella"
"Hydrogeniiclostridium_mannosilyticum",0.758850301908705,0.962780697033068,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogeniiclostridium"
"Hydrogenoanaerobacterium_saccharovorans",0.342132567789278,0.796370347750334,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","Hydrogenoanaerobacterium"
"Intestinibacter_bartlettii",0.133657432341392,0.637696412218869,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Peptostreptococcaceae","Intestinibacter"
"Intestinimonas_butyriciproducens",0.0125531831253183,0.491380715359753,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Eubacteriales_unclassified","Intestinimonas"
