"Row.names","irbd_BIOME169225","irbd_control_BIOME169229","irbd_BIOME171096","irbd_control_BIOME172176","irbd_BIOME172204","irbd_control_BIOME172208","irbd_BIOME172212","irbd_control_BIOME172216","irbd_BIOME181988","irbd_control_BIOME181992","irbd_BIOME182072","irbd_control_BIOME182743","irbd_BIOME182783","irbd_control_BIOME182787","irbd_BIOME186317","irbd_control_BIOME186321","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus","category","cohens_d","ci_low","ci_high","p_effect_size"
"Qiania_dongpingensis",0,0,0,0,0,0,0.00453873764331663,0,0,0,0,0,0,0,0,0,0.0047644697255217,0,0,0,0,0,0,0.194984779349664,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Qiania","All",0.474167206315357,-0.193671814759298,1.11892390877965,0.336658379185072
"Christensenella_sp_Marseille_P3954",0.00559466891859165,0,0,0,0,0,0.0185886998700552,0,0,0,0,0,0,0,0,0,0.0102763669324019,0.00747670253292679,0,0,0,0,0,0.184611088761123,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","Christensenella","All",0.45837968752405,-0.206828435835443,1.10111194230282,0.336332527877811
"GGB9770_SGB15390",0.0217916284168443,0,0.0177829506297883,0,0,0,0,0.0217364720454169,0.0157677084019608,0,0.0104452860452264,0,0.131493791061894,0.0186960073112728,0.0205708444734306,0,0.0494883694288339,0.0519463972345941,0,0.0477884733551937,0.0167753295158746,0,9.71726188738319,0.0808663696382428,0.600750593146475,"Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9770","All",0.30703600702625,-0.336303184856098,0.934409564822467,0.33535456841691
"GGB9342_SGB14306",0.138839614752046,0,0,0,0.141353570136138,0,0,0.0337836305296877,0,0,0,0,0,0,0,0,0.183090713245676,0,0,0,0,0,0,0.247824222879418,0.648748743448787,"Bacteria","Firmicutes","CFGB2982","OFGB2982","FGB2982","GGB9342","All",0.547067444067374,-0.133722057030098,1.20216412153076,0.331444228516652
"GGB9770_SGB73065",0,0,0,0,0,0,0,0.0107844546602699,0,0,0,0,0,0.014202589279762,0,0,0,0,0,0,0,0,0,0.197007154664103,0.63570185279367,"Bacteria","Firmicutes","CFGB3069","OFGB3069","FGB3069","GGB9770","All",-0.468889330460734,-1.11296062639416,0.198063116137495,0.330809863294086
"Actinomyces_oris",0,0,0,0,0,0.00760927762169735,0,0,0.00776538589506171,0,0.0115501503149947,0,0,0,0,0,0,0,0.0167130540092285,0,0,0,0,0.152943758969742,0.623849173981767,"Bacteria","Actinobacteria","Actinomycetia","Actinomycetales","Actinomycetaceae","Actinomyces","All",0.4018344416451,-0.254479127887578,1.03796078214118,0.32768322496356
"Parasutterella_SGB9260",0,0,0,0,0,0.0933675556109412,0,0,0,0.0391200744205949,0,0,0,0,0,0,0,0,0,0,0,0,0,0.176366628905945,0.63570185279367,"Bacteria","Proteobacteria","Betaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella","All",-0.431297235604789,-1.07073884838816,0.229546535049649,0.325018517512948
"GGB9063_SGB13982",0,0,0,0,0,0,0,0,0,0,0,0,0,0.00768772777850952,0,0,0,0,0,0.00785501592457627,0,0,0,0.209146706686195,0.63570185279367,"Bacteria","Firmicutes","CFGB2834","OFGB2834","FGB2834","GGB9063","All",-0.474307309121113,-1.1190823071103,0.193555332451195,0.322315043194976
"GGB9343_SGB14307",0,0,0,0,0,0,0,0.00768121974486654,0,0,0,0,0.0568064081121538,0,0.0210039240986625,0.00712747257566191,0.163278833815811,0,0,0,0,0,0,0.182561214461189,0.63570185279367,"Bacteria","Firmicutes","CFGB2983","OFGB2983","FGB2983","GGB9343","All",0.429180670028629,-0.231330017121796,1.0683750361933,0.316989187910659
"Lachnospiraceae_bacterium_OM04_12BH",0.00806234428572713,0,0,0,0,0,0,0,0.00674542027231946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213147023969225,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Lachnospiraceae","Lachnospiraceae_unclassified","All",0.472014051440289,-0.195462419719895,1.11649006705958,0.316872816044778
