"species","irbd_BIOME186337","irbd_control_BIOME186341","irbd_BIOME186357","irbd_control_BIOME186361","median_g1","median_g2","log2fc","p_value","q_value","kingdom","phylum","class","order","family","genus"
"Clostridium_SGB47280",0,0,0.0191532001587911,0,0,0,0,0.938558309846428,0.988832259693554,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_SGB4750",0,0,0,0.0197825955920257,0,0,0,0.581151365329498,0.831855087160077,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_SGB6173",0,0,0,0.0888241422266208,0,0,0,0.329032616267513,0.690000859087193,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_SGB6179",0,0,0,0,0,0,0,0.414337082332572,0.727400925838693,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AF20_17LB",0,0.0153074643606544,0,0.0112785374214474,0,0,0,0.285684826587349,0.672625144474007,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AF36_4",0.055268516765715,0.052641815790667,0.0118282123940194,0.0191479723195444,0.0137789091812258,0.00957398615977219,0.524354132453782,0.969809047912853,0.992763074938443,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AM22_11AC",0,0.0125103267074181,0.00863723913582322,0,0.00277490162972166,0.00309840635206103,-0.158013965078051,0.705656275459637,0.893831282248873,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AM33_3",0,0.0133906998589803,0,0,0,0,0,0.264828505562933,0.653917258325676,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AM49_4BH",0.0110319960697872,0.0117390981999253,0,0,0.0103092955989606,0,9.0159411127511,0.351195795682913,0.691820480458982,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_AT4",0,0,0.0290368290167925,0,0,0,0,0.590628069668518,0.835157424817716,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
"Clostridium_sp_Marseille_P3244",0.0207017201718688,0.0148767093613913,0,0,0.00293259305994249,0,7.20923714311915,0.207912428197723,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Clostridiaceae","Clostridium"
