"species","p_value","q_value","kingdom","phylum","class","order","family","genus"
"GGB79087_SGB105683",0.156081954533245,0.623849173981767,"Bacteria","Firmicutes","CFGB3072","OFGB3072","FGB3072","GGB79087"
"GGB87445_SGB15180",0.914652696871524,0.979509888104232,"Bacteria","Firmicutes","CFGB79294","OFGB79294","FGB79294","GGB87445"
"GGB9059_SGB13976",0.451223612819369,0.740636915192525,"Bacteria","Firmicutes","CFGB73062","OFGB73062","FGB73062","GGB9059"
"GGB9063_SGB13982",0.209146706686195,0.63570185279367,"Bacteria","Firmicutes","CFGB2834","OFGB2834","FGB2834","GGB9063"
"GGB9091_SGB14020",0.220997222738452,0.638636468682318,"Bacteria","Firmicutes","CFGB2840","OFGB2840","FGB2840","GGB9091"
"GGB9109_SGB14042",0.943182591652288,0.988832259693554,"Bacteria","Firmicutes","CFGB78183","OFGB78183","FGB78183","GGB9109"
"GGB9176_SGB14114",0.434128116823621,0.736891817893697,"Bacteria","Firmicutes","CFGB2875","OFGB2875","FGB2875","GGB9176"
"GGB9185_SGB14124",0.1653113121924,0.623849173981767,"Bacteria","Firmicutes","CFGB2881","OFGB2881","FGB2881","GGB9185"
"GGB9186_SGB14125",0.483358618646836,0.773125385687257,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Christensenellaceae","GGB9186"
"GGB9198_SGB14137",0.886523388174454,0.969175711925789,"Bacteria","Firmicutes","CFGB2890","OFGB2890","FGB2890","GGB9198"
"GGB9211_SGB14151",0.890799171080359,0.971630947715429,"Bacteria","Firmicutes","CFGB2898","OFGB2898","FGB2898","GGB9211"
"GGB9237_SGB14179",0.217171209916718,0.63570185279367,"Bacteria","Firmicutes","Clostridia","Eubacteriales","Oscillospiraceae","GGB9237"
"GGB9238_SGB14180",0.634508322151061,0.861118437205011,"Bacteria","Firmicutes","CFGB2917","OFGB2917","FGB2917","GGB9238"
"GGB9240_SGB14182",0.934351886022472,0.988832259693554,"Bacteria","Firmicutes","CFGB2918","OFGB2918","FGB2918","GGB9240"
"GGB9261_SGB14209",0.401713583757033,0.723827903541498,"Bacteria","Firmicutes","CFGB2932","OFGB2932","FGB2932","GGB9261"
"GGB9266_SGB14216",0.313433771657869,0.690000859087193,"Bacteria","Firmicutes","CFGB2936","OFGB2936","FGB2936","GGB9266"
"GGB9289_SGB14244",0.294783948968189,0.675594342187795,"Bacteria","Firmicutes","CFGB2918","OFGB2918","FGB2918","GGB9289"
"GGB9291_SGB14248",0.326433141648529,0.690000859087193,"Bacteria","Firmicutes","CFGB2950","OFGB2950","FGB2950","GGB9291"
"GGB9296_SGB14253",0.480998698490784,0.77305925250923,"Bacteria","Firmicutes","CFGB9272","OFGB9272","FGB9272","GGB9296"
"GGB9301_SGB14262",0.276236889327031,0.662177800338482,"Bacteria","Firmicutes","CFGB2959","OFGB2959","FGB2959","GGB9301"
"GGB9342_SGB14306",0.247824222879418,0.648748743448787,"Bacteria","Firmicutes","CFGB2982","OFGB2982","FGB2982","GGB9342"
"GGB9343_SGB14307",0.182561214461189,0.63570185279367,"Bacteria","Firmicutes","CFGB2983","OFGB2983","FGB2983","GGB9343"
"GGB9345_SGB14311",0.586065016614787,0.831855087160077,"Bacteria","Firmicutes","CFGB10477","OFGB10477","FGB10477","GGB9345"
"GGB9350_SGB14317",0.764148949315475,0.929925064352924,"Bacteria","Firmicutes","CFGB2985","OFGB2985","FGB2985","GGB9350"
